id,campaign_id,coupon_id,customer_id,redemption_status
3,22,869,967,0
4,20,389,1566,0
5,22,981,510,0
8,25,1069,361,0
10,17,498,811,0
12,25,44,1498,0
13,18,713,682,0
16,22,1079,1186,0
18,18,199,1023,0
31,22,583,315,0
36,18,499,464,0
37,18,223,421,0
38,22,452,1323,0
40,18,592,527,0
41,20,836,744,0
44,18,418,1545,0
47,20,671,379,0
49,20,264,1082,0
50,18,577,232,0
53,18,423,569,0
57,18,640,769,0
59,18,633,942,0
60,25,647,565,0
64,21,958,922,0
67,18,182,554,0
68,18,541,1241,0
70,18,526,770,0
73,20,720,704,0
76,20,837,322,0
78,18,497,1134,0
81,18,1059,650,0
87,18,497,1087,0
89,18,185,473,0
94,18,1043,546,0
96,18,592,1055,0
98,20,726,226,0
100,18,234,433,0
105,20,864,9,0
108,20,263,453,0
109,25,816,36,0
111,18,592,291,0
112,23,417,466,0
114,19,689,28,0
116,19,455,928,0
119,18,698,378,0
120,18,760,1204,0
126,17,703,616,0
127,21,242,427,0
128,20,841,145,0
132,18,238,11,0
133,18,477,1561,0
138,18,507,1516,0
140,23,952,1182,0
143,18,34,974,0
145,18,1059,353,0
147,20,837,78,0
148,18,220,1087,0
149,22,993,45,0
150,18,470,792,0
153,18,200,1422,0
157,21,845,1197,0
162,18,213,962,0
163,18,182,188,0
166,18,196,371,0
168,20,404,1294,0
173,17,906,1303,0
174,18,1055,1173,0
175,18,1043,1202,0
177,23,442,1093,0
178,18,198,1555,0
185,22,929,832,0
189,22,811,1555,0
190,17,173,701,0
191,18,236,292,0
199,18,877,162,0
201,17,1069,1023,0
203,18,526,1397,0
204,22,811,962,0
210,18,501,1461,0
211,18,178,148,0
212,22,590,338,0
216,18,198,92,0
223,18,419,626,0
226,21,953,1574,0
227,22,37,1441,0
229,18,1064,1148,0
232,18,214,987,0
234,18,640,1222,0
235,18,693,1200,0
236,25,596,962,0
237,17,703,1442,0
244,20,842,275,0
245,23,39,1434,0
246,25,744,305,0
248,18,254,233,0
249,22,801,1246,0
251,23,40,207,0
252,17,703,1292,0
253,18,865,1010,0
256,25,527,699,0
257,18,1052,790,0
258,20,843,832,0
263,23,952,466,0
268,18,288,1443,0
271,18,487,358,0
272,20,403,1485,0
274,19,934,808,0
276,18,252,861,0
278,18,236,1376,0
280,23,39,894,0
281,22,583,994,0
285,18,507,499,0
288,18,1024,1058,0
289,25,1069,1538,0
294,18,180,1047,0
296,22,1079,153,0
297,18,553,206,0
300,18,777,1211,0
302,20,390,1518,0
303,17,1069,963,0
310,23,39,1494,0
311,17,673,82,0
312,18,238,935,0
314,18,789,1253,0
315,17,1069,557,0
319,18,640,1178,0
323,18,202,781,0
324,18,796,1309,0
327,22,432,123,0
333,22,583,103,0
334,23,244,1391,0
338,16,269,1383,0
339,22,744,139,0
340,21,1029,78,0
341,19,689,35,0
344,18,477,931,0
348,20,404,1033,0
349,16,28,1574,0
350,18,483,1278,0
354,25,1016,1022,0
358,18,526,358,0
364,17,781,486,0
373,18,251,1137,0
375,25,1109,464,0
376,25,44,537,0
377,22,492,1427,0
379,21,242,1007,0
381,18,699,1452,0
382,18,553,1543,0
388,19,1043,672,0
390,17,781,735,0
394,18,182,1240,0
396,16,666,1157,0
399,22,907,649,0
402,18,267,1079,0
405,22,929,93,0
408,18,255,511,0
409,18,774,384,0
414,18,215,986,0
415,18,239,495,0
416,16,28,959,0
422,18,1010,1031,0
426,18,470,1443,0
427,18,200,101,0
429,20,390,187,0
431,23,952,1534,0
432,22,957,871,0
433,25,44,459,0
434,18,205,566,0
436,23,266,823,0
437,17,981,901,0
439,18,252,1234,0
442,23,976,894,0
443,19,966,866,0
444,18,1008,835,0
448,18,777,883,0
451,18,227,378,0
453,18,204,68,0
458,19,456,1002,0
459,18,468,801,0
460,23,266,1317,0
462,18,411,1489,0
464,22,869,742,0
466,25,596,691,0
467,18,633,234,0
471,20,834,1305,0
