Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type
lOOVlIvxey,70.93598112,sEucGxsuKS,5.620339223,wRDppcwBFX,7.399329701,bQNJLHIJSC,13.31284358,sryuBdKmdH,oJrKrJvlmK,pfuRnlsaMm
TDuKouFtds,16.72743381,KyWsoEnqed,2.745167899,BsYISNTecb,89.52914914,PpqOfcjkHk,94.66683531,qxAWPqtxMR,HXQWehhBQq,UPDcQhmYsI
qFFjqbKAPa,98.23473852,vtGSDYSnGp,50.64039532,DoZTGEqTwY,41.92459361,UMQPxgweXF,45.218498,vsXwbLyrVW,DVQtKvQcXR,yCaWISZGjb
KbtGAsGPfV,48.89266105,bIIXKPHqwq,75.45524699,uBnEpOZhOj,58.55442115,zklEIGFWKK,75.61931675,UywyomJHVt,OcjKKxEOPg,JFBZKJbKEO
CSXKfvAYBC,1.840879457,mqNCEtwAyI,9.695981153,cvEvoUsdjN,72.58400354,cHqmxhTmNL,79.90424955,DMToUzOpjX,JsHmWHxkoO,uRishHeTBU
ZGJhJqmADc,56.73816978,xUYKrwFblb,88.60093735,ixoxwKxzGG,36.85065696,jEqyUnVeLA,98.96196655,knWfSnLUja,yOQlLYArbt,rSfNcntfie
sVytGzNUSs,47.49070798,iYVksxWlyk,10.43093787,IVVCEgCoZQ,37.54925192,ragsOqZvVL,96.11695355,VkNxPBDLWS,bNAwBJWFhO,ZOaBiZRQwS
jHepHnJtwh,67.19423343,bqNiozGhNg,66.63348268,vJvetsGQPY,49.44184292,oAupabLiJN,33.26453299,IcrubUiDww,gpynVfTVdB,otjtwEHdmK
dwHPmMkQVx,65.34854665,akKUZWQeXr,5.828022221,zETBMegWho,55.81529489,uJpWXCLbTB,57.95350569,XPoRpPsCBe,bMlTDRQcFv,hiDxMyQhgA
UhvupDayAJ,95.91246305,MkMlDHxrOb,11.97757377,QCuySkayZX,97.99943874,YRsDcARLLa,96.12615668,yxLPLxDeGK,pCTldMvevd,JIKSnqhOeI
qNQuyETdsD,33.23000588,KPKVakSYXj,87.8520318,TQCKRtUpMg,23.48593068,mHKvhCfBEH,58.53932623,ldchXQbtkH,VTtZupzVVV,AJKdQIRQEx
UYPHedXovj,13.62419338,WrSkxTBOyr,25.03894106,tFWlqLOalE,15.89838079,qdStEQjwRw,72.37669343,obbCOuQelN,rZtBUOrOfI,sakJWvXnWX
mVqZSusiYS,24.31510184,ntTywtKJdO,15.4893434,ibEHxtWugv,38.06675747,npkmEIZIIV,99.09564884,tkQBopuIAD,leVfyVLnhe,CUTPIuNUGo
oSPccQXyge,29.39376746,rnuPKyUrhV,81.93681192,YsoVPxTFZe,42.74057901,PqsnyeEMqr,65.16617248,anLjTbKpmu,pPHyRjqELL,uEeaLgaspo
GDIKtpZrQD,93.48674795,osbpklHPUm,53.25340719,OeRaRboSpW,41.62983698,xnZwcOssKr,7.713117675,nEPHmLRTWL,UqxfvYzTIv,gyXIcsREoS
DwxUtEfdVC,57.76030369,sFsTHRgSxi,96.67954827,hKBjdXOkFS,99.68267298,nvUWerVZZw,42.36734389,czvCFnBswG,zBTcJBXpab,XNYjRfMdvl
zgOdzFBejB,84.34384885,FVwFuGrtUz,82.3064101,AYISoPdOyF,18.2957959,YLcCmeMEsy,73.00415741,JvzhjnbrHt,AsQGgPwiKZ,LEGIkqPgoH
bGqAmTrGir,38.37122912,ZLfsgPHWtG,57.73395945,PSjMFcdfoF,39.53826007,WJhjfnwdOc,79.68546496,TGVZuupsTd,LMheQIScHo,BKkmQdLTUf
FExVciMWOu,35.82601981,WxbwdSiajD,34.2624695,uErbkItHnR,0.117900568,OpZdhNNxQg,89.91074863,iEtfmowlMp,oTbrNoNkbP,HczYvrQKUu
qrRoNshBdH,33.77838303,CsgoGbaTiK,66.44733283,NeamjyurNG,11.68255689,XhRmjeEKUY,49.65957303,pBAianxMDw,keFkPlYcup,QSMutLVibm
mwtwRwIoTp,2.360645118,jwPEZTOFmv,99.44970331,zoyqogzkWl,21.51889028,dlVVAZSNHp,55.07641915,RRxLDmcyod,RvmMmWKPTl,jvmwXKHWEp
MibAOcwtQw,10.26646462,NeAHMXQufe,36.59639421,RkeEGroRUG,21.62185891,FywOsCDUfV,3.138676317,TYKwfQwEDi,cCojFWiARt,HVnfDRfnpJ
zrxNlHUUPb,13.87913567,ptsNsTOzsj,44.9628961,jksMRfYaEn,3.341748795,ufGZDEpeub,69.89721901,RCmwsNgISr,HVfOtDdTca,VZhCPsLCPy
FIaoKybtPX,87.51173588,GubmWNPFwA,83.85903502,bMCxRngaJc,63.08287277,IUwkoSntpB,8.339966085,hwHnYOxyOU,ualhovWfVp,rnZAVFkPvd
fOOvFLQzzx,13.25637575,HMEJUMjJpG,72.23175062,MKkSMbqIJz,36.89426814,nTeBdkcuZg,1.554379267,ylzaCMQwLj,EZduNcyHmj,MMNLIcefGf
oTNdsJgMtJ,63.02070428,saIJddAOPH,21.62716137,SRnZfglOJJ,29.37314359,ciaZnPWtim,43.20389769,jcKfQoluwr,tLMWcItlDx,sGGPtsztZN
wyWUiiOLbk,43.48067762,ruNneAIzzN,31.20768809,jtjTnrtEam,70.6064801,rGodEQkCvv,69.37286476,VLWeXMdpfI,cvKqqYhtyI,AdGxcodBsm
NfGYnjqsTG,68.06597799,xiTzmrRpSl,54.43991189,LhQUMTblaJ,49.87089963,EQWKNhlZPp,19.07165672,nhmBViduas,pvBvCedQqD,TmSvKOuvsE
wlkxywowyA,52.70375174,lncxexoBAM,58.11918644,XzhSVdbWiU,50.735877,zTfGcUTNDr,39.60561251,pMzNmVyzUv,YfxBwslxoS,UIthuedkCI
KjWgkwCLla,42.52705793,GFtUqznarr,4.528571595,ZIjfVaCcpi,82.59939101,iFlaoverim,3.522019336,mXjDdQOLAa,uFXtYdWyjA,DUDdMjRvas
uVBEBtNOyy,5.056477075,skTYDqpKBL,62.65527259,YaYsBEnIOz,36.47249224,ghSvJSyYeJ,8.575883207,yxWEbVEOti,FYcRBYcJhA,SKxUOvYScd
wtnTLaQIEa,23.57657908,bRjGudERyH,43.33733076,qSZuJkKklc,39.53717906,IMYwPNYOru,14.02842004,QlWMlqtMUs,MJfJjSUvyt,sAzhPWWJUX
YqRiDwcvLe,67.74077584,ziSSrqCtlF,93.10112949,kZXSHccrZO,28.97164617,TkejDBYLup,46.28201817,ykfwhxAllQ,KpNzHDuGwX,xDEyuglQrU
ADFzUZuACy,84.56291754,qpYnlmGUHZ,78.94982041,JiCVodNiVy,53.53362412,LIEbzZpFFn,59.49240064,JzDazpDyHc,qOHfTZdPsq,YcFPgeRsha
NwWtgzuXZl,22.81328462,JRahkIpYmG,9.791702519,IpjQHAhpBg,55.64866855,fFegHZKUVA,86.86925962,CernwDCxFq,OadRcAZAhd,atykpGjJyv
gjsAeKjLSP,74.97362785,AShDTUFtAX,49.03727681,DYnuyalWcP,6.510007305,BZkhqNRMfA,27.13723587,dGPqBCgmnQ,CZplkcQGea,YPgrYXIXZu
PZXYqvzyxO,95.20351214,GoVuvRdspl,74.86064397,tsdXOzLxBV,46.31289526,bUTkMwhLCZ,36.84714075,UUfDRFZxIv,IjSGoQVOwg,TIXRRCfzkY
gHVjkqxRTa,20.31405536,BGVpuKTRAb,77.60094137,KwyUmeedZh,76.54461102,QRraGVgIXz,10.38196888,ofsWMuujgJ,qqJrECfPWs,lFfahcqFhY
nYxWCaaTDO,11.79736962,gPpnNOhuve,5.821143012,BLzAqHuciL,38.00317957,pCvoVqvxTr,49.36803332,NRIRMCXLEk,YunCVmcFLW,lOMaQnjCmD
qdEbsGVBLn,75.44816088,VdRJassuvL,55.2913601,KAQaNmrmxZ,66.84564384,XApWOSZPcN,73.68438638,NiLFsqlBin,wAwZvHrmED,muhdiLOHJb
DhZqUHZePT,75.35180309,logTnBikob,88.05105462,kFzjXPbxjA,88.48256691,eyFybYzmas,83.49795375,InzVOUSefq,xVpaecSbmo,LDsuraXSUF
gNLkVCZEUf,93.05498135,DioMcUAxOr,73.77314786,AuzSBAYmXd,70.75091033,STQHJDvHmd,92.92423212,PKjHdJsQUi,rnykLBzBKm,bqvFHZvsqn
hzxDLnoMIp,20.70164897,rNgdXlAWhD,68.64742933,JZvqmgeloj,14.05842815,eXvDlANQCe,14.51781374,noMyMgVjqr,SReSyLWlvb,vIqjnJkZdB
kgNWcffmNF,70.35469425,wpWGOJgvpJ,13.87012884,BrBEkPOjiV,77.46424552,cmdDQaLngL,42.45822415,WIerdAQhoI,QbYkLJgFvD,sxJUKneAdt
WfOxipwEDy,8.222654096,gjfTaogykk,41.20408676,whCbtfjLcb,10.55941783,uwrYVDBKnr,16.91363841,ofbzhESIdY,KuaDjnvidD,eduericrJS
aeuyIZmUjM,6.112548078,kPUAGagHLx,94.11818901,gLaEpeYQqp,33.97208211,PqsGxTssPX,16.09223842,sXAhVXxbOC,EDMwDNbcae,yjTNfITNkj
EWgMlIXmVt,89.19865258,hIWKNCGHGe,64.66286225,gTSuOLYtHM,78.49234459,uQyynaOXyU,94.94072752,WCbpnXGVNm,ePFlVmjdUv,birAHoOORn
QtyAUNQXTk,60.07189745,fUCidxFbvM,1.500392324,eBUKQuZzXv,34.00003387,dPwZlFBAVa,72.49252124,AZlpWzZcbe,szGvAxNFoR,CYIjtNOfvK
HqeJEEGuiy,80.86868459,tNHtmYrPmK,73.87997198,nkPPYLSDEa,34.87363524,cVJehqWrTB,5.91040269,KgapXEDhTp,cbqtvUcaFX,NgZUoEvsgi
ABkwLAfEoR,1.12419955,WRfefbfwlI,7.984877269,FzHDjwpnev,5.663522555,uTVikwPNau,90.7650771,qXSmmULylc,akZnJGyijg,UzavyAIKNr
ddnmkFlhDW,21.13026579,JsLVRNpfbr,32.70101727,dMiyKmBoAN,43.24694531,vAiOjboUrQ,88.42267503,yCTdcSMJgq,pzDLusTYmU,LEzkxPSkzR
kSuLcdmotL,2.903317781,OSBwMRFUuu,83.14107671,aAQeerXdjR,43.71989291,sHtIYGOPbU,7.326849567,UxAXrUnkkA,eSMXTVOLoy,lTykIbGCzu
BsXcAnsfiH,45.0980891,HtFefJZYRF,75.50437596,XVYfHFgNXZ,84.14394781,SBQTAYqERN,76.12045054,qAmldADimL,maipfWscon,qkNoTRNUQL
mMrPNgKutx,55.29314003,dcWbQOlnyT,8.639467778,CJpiyXpLSp,84.77577504,ocrRWXPYDV,7.056938105,XFYszHpkBe,AoRTqwIXSN,GTTjaLZoBg
knnWihIoTA,77.49636123,mWpdMwiyga,2.497399419,qlIUUngYgu,82.28145035,dNofTKYpyK,65.26788572,NnZDPzwtLh,ydzPOlnrru,XcWxoDiUyG
JTRuxrTpXp,59.47893741,LeFkKwDcXd,66.58289592,uAsUcxmtMI,92.84703073,BRCKFztKjD,71.46091359,iHMGzGJDKP,BvRrrBIRUb,cRpdgsjKfa
XUJdsaBExh,94.92144982,SOnuIrifFM,34.50073294,pmkqueCZPd,50.07650175,QwNkKDhQyu,80.12440803,nudnAETOdU,mouRdUcZEI,IMOQqxHmKI
nPiWFdMdsz,3.062688493,GDgyrMNILm,58.71287179,MFMmYYMcAV,34.07169572,DzAxiJJHss,7.179334606,bDLqcBDiQH,fShkOEEZfi,pHkuOLYjpe
hsjNMzQKLk,95.99417827,DTvfaApVSZ,28.91690679,RdmbkWjbLk,80.24027127,XYNyhyJjHp,89.57524989,hbSLyRRKdY,pYhIBiHXeE,qoIUNIJchh
CQxljhICNP,8.530149179,bnuPApxUiY,49.02308576,eeUAFWcwSm,29.05606846,LtfPrYMtpo,6.365509985,wbchaPBcWu,ltYLRLJtPX,ULTybaEvTd
BVLogONEZT,71.9301431,FDfXCwpvTx,5.654675546,HSIbYuWeNs,54.3057843,JoZNhkSCvN,57.06840889,mUkIPYWZfQ,YZXbdgstAj,nqQhuvmXnC
TbdIWegUbh,71.14036779,eqTAlWogyR,61.33938171,PJkmHvGOND,89.94345322,oGqKFCMgEu,55.3027422,aXQmVXwJTK,eMHgEbfDXO,kkdcQcaVxa
sdVLxfhqTr,54.18816351,uivHkdRzkv,60.54977316,gOXUDkWhou,41.5084734,utdyBsvFpl,39.06286718,TFVAgWNsIE,eYjJwyuwez,XOQdmQUPiE
jwMCSknQaX,15.97759581,wYeVrhjOdd,34.38470712,BDbdGqczJI,9.956160565,XjDPkIqHyN,11.54772658,zsyifCrxAe,LiCXGnKXGm,dfXLeaZlvv
InkBiMTuAX,43.56921997,ZzBeBpjHKm,66.15701997,VYiwXCGXId,38.89964923,IgQuLwURpp,30.92291865,mhFmLjzCHz,OmkXITHveC,JJODQUGqoh
tfbvVgARQU,23.15732778,mHyksXAIVz,52.8919172,btemgklWcD,75.9431969,ggSnrmhVRD,15.58144064,EyEvenvXwm,favVaxSufo,HoVZBTCQEf
XWnXCgHsYq,60.63468219,PrbGvwShqQ,71.17464551,ztWINoIBCc,75.2011488,kKJcnOOAUE,69.12440476,rtCZaYWKAQ,NIiSDcNJEQ,fLyOUWplbP
BUawbGFgLw,37.47728662,ykyCJcHpzD,43.19753125,BhZbPyEnpl,25.19541612,OHgGfiXPLq,66.53229466,QrbZpjnbzy,jquZXADCTI,uRiqUxiNzO
EUNxNFkwYr,81.77270749,GkqVZFFJYz,34.89620136,xwawpahSxe,42.95653999,fzxOYbwMxe,4.296768492,hCVDzdTZoQ,oChgvjVeHp,LNUzSfdmgk
pzzJYXYMTa,95.36148114,zzJptethNV,17.73324367,MJAMydegGC,15.88116644,IUdveVzlfx,86.2642918,rNxjWJRGPX,lrLFPvIkeA,YaJCPJeOwo
DoLYXlryCZ,6.184706213,caMpusenss,34.38211027,eVLzwetwvG,55.87975614,rlAzQflvVr,47.8352228,mKXJRiMoOz,LEWhPmuObw,ATLodbOnnA
aNOhSjEszA,55.42252453,hltIgAhzGA,13.44616937,pvnaaZBhhM,2.152571898,kuxnzznHql,72.88222423,HKnlZywPQs,hkWPMmygio,LYGIzLAJYG
COCoOmkBcc,7.434269384,NTkwhZrCYS,82.02648335,WDEhXFoKBG,87.32282901,dZrLBooWjn,45.22146336,eutFWrkvyF,MvosEgaRSo,zBYcqXHNEc
QIsDFBMRFt,19.62166898,eGuFoJyRFY,19.82420013,eacSHJUUvg,79.27906028,cdkKcXRKoo,76.19329475,YodZkvBmhh,zsHAOiyQXa,SLJqIPMQDF
MMYFLlpeSb,15.68872347,WMVFJjJkLk,34.4696974,YlrEAPAqOn,91.17551969,Afjwtgjffh,39.19180434,mAEtxNsGHU,UXvwzOtKVc,gAmmNORAPs
OStLuzJJXt,37.05232127,IhqZliyxiW,49.78710965,GXkLGsFQuP,21.08192085,AbQCgNspfd,46.87874325,LuUFDCUVRS,MTqAgDjuUV,ESOESLFXMs
VvflTIORgp,37.42438559,OEHoxBQROY,94.43957025,ROrdGhWbAg,41.74550168,jvZrPrYmbG,52.7335608,gGHnPZhFMe,YUOrcOBGzb,KlSeHGuyxV
THlDQzQCkg,10.85546679,JsoToGNpkh,58.89159119,axWlpUbXGO,88.51272882,VriaXiLVit,76.54013518,RYnPjTmuBj,LIeJsDlFuV,INOSKcuFJq
CRQWUWYwyM,64.97333675,LwOAxxYaOb,92.11919208,xOOXpcDmIR,1.619394695,mrEeBPFYge,96.29291787,rQWlFLYGoU,hVJuBmpCZH,dYZxTAsWFK
OanEdnYrMb,18.22620974,eYzUkqgOYW,17.11332268,KTovyYEHZQ,30.39898662,NzSWmgJVld,32.1396962,ADPTtLhwxC,BrMYGaVqFR,xuHctVgtGj
WIJHxGhylW,30.56213383,NKWxQRHRfL,42.08653147,lqKXulRMiq,85.59817732,OhIrTVatRt,94.54585397,BWOttgsQPc,syKWYHGMVS,rIjXXkWwaf
uwqPwMlJEy,24.20768985,XUXYRHEceo,44.15150243,vJYklvhiCQ,71.9175346,eqnXaUfQfg,11.39918008,heIugShcob,YWaQfsvUOF,iqdBqZfopG
QuHjSmzGMq,44.61363341,DvHaluUXyK,92.83028635,vSWGBzoFRS,57.13117524,fzCYtHMWQj,46.83257864,JrMbQPwLhM,rcMCycefnj,KhYjOfahLV
bVvBAKZxpK,92.30179315,mNqKprfrRn,92.292731,MwwlRsBzFF,9.776300112,qMixeVxGJF,78.45510428,wxrYxuXGFI,gTWjLYLeSS,tmernABVWE
DIGNCpTGTP,39.69721249,uoFirSJTmP,86.75186927,dgslBGTinr,98.2599717,YHuWfoDGPv,82.71271818,DQOwQAzkiY,aUugRiQaqh,xcPQFSiIYZ
skmxhbYORR,24.55224135,EIyntdXkNN,66.14296164,uMtMTAmdwB,15.1116442,PcPrugDIjV,30.48083486,fYVWSJhxJx,VQDTtGccXJ,vNCGMIFJrj
tPVmchwiQO,74.6072891,bHkNUVrOQT,24.89770979,KFBTMSvNas,40.88701775,XLXShLrilU,36.22247296,bnTtzIVWqC,cvdeMEPpXH,doFojcrpRc
jFJfishfwk,22.16054149,kxeNxWVyuq,47.00926123,MHlhFMsEVB,45.54146172,hXsVZLHjVm,39.02515523,yvxORzVoEL,DxQitGUXpS,giefriPzyl
QCvayIMQOF,19.55547275,hSXGImHumY,3.834210616,mxVjYhifqT,20.52923445,pSastrMxbR,92.8893334,MqbocCkjSN,JlXzAqPMGf,mwoXKbXivd
kXTGVLNLxs,19.94031094,BsbtbNtjez,20.84967941,GPfKWpgggR,20.35908004,GwMUnYgeVc,59.79066318,zyhTemGzNR,oBWnsZmdgk,EpVGIcILHi
BVPPCchrvp,89.9370102,auzLMWQnFG,35.93510671,TlJAicVnYl,61.06478927,vIDDRFZbfs,98.74911914,fgMvAsyyem,aLXgnmsaWP,PorYLuPJzt
avrSgLPWlF,96.93633265,coHfcdmSPC,6.722162412,HcDhjyOlyJ,71.66480413,odToIbuwFg,61.83162685,gGaDFjXUSA,GedARkrRPw,LTILIMqrZf
JFwSKHTDMn,59.60428774,ZrfSOSPReI,39.18116615,ZveiSYKQmo,39.59089776,DLfFdtBsSD,5.182165999,XnwCkxmAMw,hCPeBtYbgK,WisQSpAVXq
yxghRvvZzx,86.39488938,hSauIcWFcW,91.32152043,mjOKdQMNtX,19.1835582,sqbJrbFAmx,65.31504793,CbHfURunGq,lNwxjcSdgd,AMAwSJcGsD
SFKwWlARNa,10.26044429,dMDNlNUTvf,19.01192712,mMgeiAWbAO,27.50409549,cYDhJWbzJS,66.1536789,hxmtTAuShz,OJHigtGWmz,JHAjoAfeFs
hLCbrCKIny,92.3161169,vgngUuTkxG,83.68553057,pteZkhakdI,10.46186587,TkasAIDIcs,94.2902312,rVGzKEulaW,ddCMdSKlnU,roqHTMZBIt
lxSdClQipH,7.818290912,ZxDMEwdJaJ,26.57326015,HdCOHmRWYL,78.45389654,LYzOpivtlx,46.90411318,MEkedZMDBc,jpVZJnYStq,ObwwxGjWUv
zpUArKDIZN,91.23447439,TklMJXjopo,58.35780145,nAEUEpSGfN,17.12785564,RfezjgKKNR,53.43648773,CykGTJbpkz,MygrbNtWRw,fIgsxjRyjY
DxpdtGbvXm,72.24286794,AArHgfgXwG,37.2804504,CYaQfxplRA,89.44797875,mkbJOUAXWQ,91.01981692,gPYRcPtAMu,bJUggrsQYc,ehkEpdiVBI
BlKnXZCkhn,21.23562839,OCXkIwvGDW,42.79577246,iKaHhmjXUw,99.08661917,fuKGtUnDZR,98.14577025,FqFdCPKjAN,VUvCDIVHyy,IXhPXYaZjR
